breweries,city,state,latitude,longitude,brewery_ID,brewery_type
Hoppy Trout Brewing Company,Andrews,North Carolina,35.200614,-83.826531,404w1Y,Micro Brewery
Currahee Brewing Co,Franklin,North Carolina,35.1876125,-83.3719159,pMdJig,Micro Brewery
OysterHouse Brewing Company,Asheville,North Carolina,35.5789513,-82.5888579,zCcJrf,Brewpub
Eleven Lakes Brewing,Cornelius,North Carolina,35.4547133,-80.859866,soqqVC,Micro Brewery
All Sevens Brewing,Asheville,North Carolina,35.578687,-82.59428,LDLZb4,Nano Brewery
Suffolk Punch,Charlotte,North Carolina,35.2004683,-80.869111,zuFqe6,Restaurant/Ale House
Resident Culture,Charlotte,North Carolina,35.2201419,-80.8055087,wH4NHi,Micro Brewery
Snowbird Mountains Brewery,Andrews,North Carolina,35.201452,-83.825497,B5TwAS,Micro Brewery
Lazy Hiker Brewing Co.,Franklin,North Carolina,35.180679,-83.384245,VMeZHo,Micro Brewery
Highland Brewing Company,Asheville,North Carolina,35.571062,-82.4981899,fJYG8Y,Micro Brewery
Lake Gaston Brewing Company,Fayetteville,North Carolina,35.0530293,-78.8791907,f5DoHi,Micro Brewery
Wise Man Brewing,Winston-Salem,North Carolina,36.104876,-80.245385,WDbiXY,Micro Brewery
One World Brewing,Asheville,North Carolina,35.594796,-82.552285,RkB8DB,Micro Brewery
Legion Brewing,Charlotte,North Carolina,35.218387,-80.812963,A4kfNJ,Nano Brewery
Edward Teach Brewing,Wilmington,North Carolina,34.2426565,-77.9453171,wEuyjp,Micro Brewery
Blind Squirrel,Plumtree,North Carolina,36.027199,-82.009252,gHtsql,Nano Brewery
Southern Pines Brewing Company,Southern Pines,North Carolina,35.187027,-79.3718109,hJaj9K,Micro Brewery
Regulator Brewing Company,Hillsborough,North Carolina,36.0754183,-79.0997347,JdJXIl,Micro Brewery
Kettell Beerworks,Banner Elk,North Carolina,36.1661659,-81.8640772,SwM8Ku,Micro Brewery
Bull City Burger and Brewery,Durham,North Carolina,35.995445,-78.899939,eu1cAn,Brewpub
Medieval Brewing Company,Mooresville,North Carolina,35.576488,-80.82093,vx2LSC,Micro Brewery
Lost Province Brewing Co,Boone,North Carolina,36.219076,-81.6835445,YGl9bd,Micro Brewery
Four Friends Brewing,Charlotte,North Carolina,35.12048,-80.9595499,hcCgPK,Micro Brewery
Trollingwood Brewing Company,Greenville,North Carolina,35.612661,-77.3663538,AaTxl4,Micro Brewery
High Tide Brewing Co.,Jacksonville,North Carolina,34.780164,-77.425459,muCluV,Micro Brewery
Good Hops Brewing LLC,Carolina Beach,North Carolina,34.041266,-77.904635,PDva3w,Micro Brewery
Black Creek Brewery,Roxboro,North Carolina,36.393744,-78.982759,4LmZeF,Micro Brewery
Flytrap Brewing,Wilmington,North Carolina,34.240339,-77.9455104,1XeODN,Micro Brewery
Oak & Dagger Public House,Raleigh,North Carolina,35.7892684,-78.6394065,QR49h5,Micro Brewery
Flat Top Brewing Company,Elk,North Carolina,36.165885,-81.863956,drNCMo,Micro Brewery
"Boone Brewing Co, LLC DBA Blowing Rock Brewing Co.",Blowing Rock,North Carolina,36.135129,-81.6776059,TxaTZN,Office
Ole Shed Brewing Company,Dallas,North Carolina,35.316155,-81.219127,18bX0K,Micro Brewery
Brüeprint Brewing Company,Apex,North Carolina,35.7121944,-78.851764,sUoofg,Micro Brewery
Aviator Brewing Company,Fuquay-Varina,North Carolina,35.619701,-78.808539,XRTc94,Micro Brewery
Broomtail Craft Brewery,Wilmington,North Carolina,34.2598405,-77.8468914,UoXcp7,Micro Brewery
Triskelion Brewing Company,Hendersonville,North Carolina,35.3204813,-82.457796,pKTvAn,Micro Brewery
Mother Earth Brewing (North Carolina),Kinston,North Carolina,35.262656,-77.5825349,LZ4UuN,Micro Brewery
The Barking Duck Brewing Co.,Mint Hill,North Carolina,35.1524824,-80.6800688,78GQyY,Micro Brewery
Fox & Crow Brewery,Myrtle Grove,North Carolina,34.1346157,-77.8816518,jRzF7z,Micro Brewery
Crank Arm Brewing Company,Raleigh,North Carolina,35.7755269,-78.6440439,UPUlc4,Micro Brewery
Beech Mountain Brewing Co.,Beech Mountain,North Carolina,36.1946784,-81.8779951,hCCFgr,Micro Brewery
Thirsty Nomad Brewing Co.,Charlotte,North Carolina,35.188365,-80.891133,y5QrQr,Nano Brewery
Balsam Falls Brewing Company,Sylva,North Carolina,35.3737395,-83.2220743,06f9U6,Nano Brewery
Sugar Creek Brewing Company,Charlotte,North Carolina,35.1854212,-80.8809845,CisTjj,Micro Brewery
Ginger's Revenge,Ashville,North Carolina,35.6143732,-82.5747017,QSFyjY,Micro Brewery
Hosanna Brewing Company,Fuquay-Varina,North Carolina,35.6164061,-78.735189,xgO0Do,Brewpub
Innovation Brewing,Sylva,North Carolina,35.3739195,-83.2204756,Y9Mg9A,Micro Brewery
Red Hill Brewing Co,Concord,North Carolina,35.4103958,-80.5806013,DYs3U3,Micro Brewery
D9 Brewing Company,Cornelius,North Carolina,35.461202,-80.847373,AT5UIb,Micro Brewery
Fonta Flora Brewery,Morganton,North Carolina,35.7478209,-81.6914461,mmoIS2,Micro Brewery
Pinehurst Brewing Company,Pinehurst,North Carolina,35.199406,-79.4700809,Mxt3P9,Restaurant/Ale House
BottleTree Beer Co,Tryon,North Carolina,35.2089443,-82.2381476,sxggDn,Office
Tobacco Road Brewery,Raleigh,North Carolina,35.7825535,-78.6463897,F99d01,Micro Brewery
French Broad River Brewing Company,Asheville,North Carolina,35.5664832,-82.5374074,MstViE,Micro Brewery
Bear Creek Brews,Bear Creek,North Carolina,35.6518126,-79.3329623,9GewxD,Nano Brewery
Burning Blush Brewery,Mills River,North Carolina,35.3837231,-82.5689964,Xgj486,Micro Brewery
Blackjack Brewing Company,Raleigh,North Carolina,35.8087141,-78.6211297,qPHjWf,Micro Brewery
Sapphire Mountain Brewing Co,Sapphire,North Carolina,35.116492,-83.017791,egQUIK,Restaurant/Ale House
Loe's Brewing Company,Lenoir,North Carolina,35.9127763,-81.5423422,QsGPS1,Brewpub
Frog Level Brewing Company,Waynesville,North Carolina,35.4934583,-82.9910063,2g1fge,Micro Brewery
Lexington Avenue Brewery,Asheville,North Carolina,35.5961621,-82.5532866,kFqi12,Brewpub
Front Street Brewery,Wilmington,North Carolina,34.235752,-77.949088,77YOgn,Micro Brewery
Rocky Mount Brewmill,Rocky Mount,North Carolina,35.95876,-77.803708,WQ11NY,Micro Brewery
Pilot Brewing,Charlotte,North Carolina,35.2209747,-80.8154469,utQM8n,Nano Brewery
The Dreamweaver's Brewery,Waxhaw,North Carolina,34.9245935,-80.7434019,8jjpWz,Micro Brewery
Boylan Bridge Brewpub,Raleigh,North Carolina,35.7784641,-78.6490665,0WRKfW,Brewpub
Southern Peak Brewery,Apex,North Carolina,35.7474177,-78.8438049,NNBRpr,Micro Brewery
Gibb's Hundred Brewing Company,Greensboro,North Carolina,36.065851,-79.791772,fsNEt0,Micro Brewery
Fullsteam Brewery,Durham,North Carolina,36.0031092,-78.8995998,HUCz2L,Micro Brewery
Pinehurst Village Brewery,Aberdeen,North Carolina,35.12637,-79.420649,lKsltx,Micro Brewery
Beer Army,Trenton,North Carolina,35.0687878,-77.3658761,iHEJZm,Micro Brewery
Cape Fear Wine & Beer,Willow Spring,North Carolina,35.562041,-78.622314,mFB8k3,Micro Brewery
Dukbone Brewing Co.,Charlotte,North Carolina,35.2270869,-80.8431267,YIQlOo,Micro Brewery
Four Saints Brewing Company,Asheboro,North Carolina,35.7040289,-79.8145682,KZlIgk,Micro Brewery
Triple C Brewing Company,Charlotte,North Carolina,35.200972,-80.869119,wtU6qB,Micro Brewery
Mystery Brewing Company,Hillsborough,North Carolina,36.0694027,-79.1136652,L29NU9,Micro Brewery
Pisgah Brewing Company,Black Mountain,North Carolina,35.608487,-82.361055,2qlMjT,Micro Brewery
Wedge Brewing Company,Asheville,North Carolina,35.5861437,-82.5663199,yO2ogr,Micro Brewery
Weeping Radish Farm Brewery,Grandy,North Carolina,36.2197049,-75.869811,Fr3ygj,Micro Brewery
Steel String Brewery,Carrboro,North Carolina,35.910205,-79.072279,BWvj93,Micro Brewery
Boojum Brewing Company,Waynesville,North Carolina,35.4904458,-82.9875762,ZXEwp8,Tasting Room
Waterman's Brewing Co,Wilmington,North Carolina,34.2210956,-77.8205824,1i8Y2X,Micro Brewery
Primal Brewery,Huntersville,North Carolina,35.4370891,-80.8436834,gfH8Gd,Micro Brewery
Shade Tree Brewing Co.,Durham,North Carolina,35.995275,-78.896014,nqeXIU,Micro Brewery
Waterline Brewing Company,Wilmington,North Carolina,34.225565,-77.948452,IyzwQ4,Micro Brewery
3rd Rock Brewing Company,Trenton,North Carolina,35.0687878,-77.3658761,QwJfK8,Micro Brewery
White Street Brewing Company,Wake Forest,North Carolina,35.977704,-78.509865,QANLRv,Micro Brewery
3rd Degree Brewhouse,Fuquay-Varina,North Carolina,35.5968154,-78.7612138,f6tQ4t,Micro Brewery
Brevard Brewing Co.,Brevard,North Carolina,35.2333243,-82.7333116,enoxkn,Micro Brewery
The Sneak E Squirrel,Sylva,North Carolina,35.3730154,-83.2359007,OZbzBF,Micro Brewery
Little Brother Brewing,Greensboro,North Carolina,36.0686325,-79.7908848,2nAbvS,Micro Brewery
Good Vibes Brew,Wilmington,North Carolina,34.2387648,-77.8891697,H7XluE,Micro Brewery
XII Tribes Brewing Company,High Point,North Carolina,35.9623181,-79.9752212,dD3bU7,Micro Brewery
Lucky City Brewing Co-op,Reidsville,North Carolina,36.3604961,-79.6652109,U0g9w4,Micro Brewery
Carolina Beer Company,Mooresville,North Carolina,35.6223381,-80.8018611,h1EJ6z,Micro Brewery
Nantahala Brewing Company,Bryson City,North Carolina,35.431176,-83.446072,gINfbT,Micro Brewery
Ivory Tower Brewery,Boone,North Carolina,36.212318,-81.680083,tRGa3f,Micro Brewery
