index,brewery_id,brewery_inBusiness,beer_name,beer_style,abv,ibu_max,ibu_min,beer_id
1430,ajREdT,Y,"March IPA of the Month ""Celtic Kelly""",American-Style India Pale Ale,6.7,70,50,i5VlKv
1431,ajREdT,Y,"May IPA of the Month - ""Maya Bonita""",American-Style India Pale Ale,6.4,70,50,Knndwh
1432,ajREdT,Y,"November IPA of the Month - ""NovAmber""",American-Style India Pale Ale,6.9,70,50,sFzINW
1433,ajREdT,Y,"October IPA of the Month - ""BrewHilda""",American-Style India Pale Ale,6.8,70,50,UZi6Wx
1434,ajREdT,Y,Oktoberfest,German-Style Märzen,5.8,25,18,cPC8b4
1435,ajREdT,Y,People's BBL Aged Porter,Robust Porter,6,40,25,EJcYJn
1436,ajREdT,Y,People's Porter,Robust Porter,6.25,40,25,frPfNa
1437,ajREdT,Y,Pilot Mountain Pale Ale,American-Style Pale Ale,5.5,42,30,RDy34i
1438,rBxNNF,Y,Rabbit's Foot Bourbon Barrel-Aged Imperial Stout,American-Style Imperial Stout,10.13,80,50,siJW75
1439,ajREdT,Y,Rainbow Trout ESB,Extra Special Bitter,4.5,45,30,Woa5pt
1440,ajREdT,Y,Salem Gold,Golden or Blonde Ale,3.75,25,15,ouFEvH
1441,ajREdT,Y,Sauvignon Blanc Wood Age Jade IPA,American-Style India Pale Ale,7.4,70,50,IlokET
1442,ajREdT,Y,Scottish Ale,Scottish-Style Heavy Ale,NaN,20,12,TMMZ3N
1443,ajREdT,Y,Seeing Double IPA,Imperial or Double India Pale Ale,9.5,100,65,IB8TX1
1444,ajREdT,Y,"September IPA of the Month - ""Katie Kickoff""",American-Style India Pale Ale,6,70,50,qtmdUj
1445,ajREdT,Y,Sexual Chocolate,American-Style Imperial Stout,10,80,50,gssG96
1446,ajREdT,Y,Stout,American-Style Stout,7,60,35,uUrHgS
1447,ajREdT,Y,Tangled Vine Berry Rosé Ale,Fruit Beer,4.5,70,5,MmogOD
1448,ajREdT,Y,Thousand Smiles Golden Ale,Golden or Blonde Ale,4.4,25,15,Edngvu
1449,ajREdT,Y,Topaz American Pale Ale - Hop of The Month,American-Style Pale Ale,7.2,42,30,5MhWbD
1450,ajREdT,Y,Torch Pilsner,Bohemian-Style Pilsener,5.3,45,30,3XgrE9
1451,ajREdT,Y,Amber Ale,American-Style Amber/Red Ale,5.7,40,30,EU2r57
1452,ajREdT,Y,"April IPA of the Month - ""April Showers""",American-Style India Pale Ale,6.4,70,50,iU4pnG
1453,ajREdT,Y,"August IPA of the Month (""Spot"")",American-Style India Pale Ale,5.8,70,50,ReOPU3
1454,ajREdT,Y,"August IPA of the Month - ""Coral""",American-Style India Pale Ale,5.5,70,50,OlGgMG
1455,ajREdT,Y,BA Sexual Chocolate,American-Style Imperial Stout,9.75,80,50,lyhILK
1456,ajREdT,Y,Baltic Porter,Baltic-Style Porter,9,40,35,iHSZ6p
1457,ajREdT,Y,Blendiculous Series,American-Style Brown Ale,8,45,25,zhHcIw
1458,ajREdT,Y,Carolina Blonde,Golden or Blonde Ale,3.8,25,15,oRNNNA
1459,ajREdT,Y,Carolina Strawberry,Fruit Beer,4.3,70,5,xV9Ejf
1460,ajREdT,Y,Cottonwood Endo India Pale Ale,American-Style India Pale Ale,5.9,70,50,X8ret4
1461,ajREdT,Y,Cottonwood Low Down,American-Style Brown Ale,5.6,45,25,MLTJqg
1462,ajREdT,Y,Cottonwood Pumpkin Ale,Pumpkin Beer,5.3,70,5,DupEKP
1463,ajREdT,Y,Craft Happiness,American-Style India Pale Ale,6.5,70,50,yBYN6P
1464,ajREdT,Y,Craft Happiness - Haven,American-Style India Pale Ale,7,70,50,YgCeow
1465,ajREdT,Y,Craft Happiness IPA Project - Bookworm IPA,American-Style India Pale Ale,6.3,70,50,qwLxjU
1466,ajREdT,Y,December IPA of the Month,American-Style India Pale Ale,8.2,70,50,FwGUE5
1467,ajREdT,Y,"February IPA of the Month - ""Rosie the Riveting""",American-Style India Pale Ale,7.5,70,50,1ZWxqz
1468,ajREdT,Y,Foothills Festive,Specialty Beer,NaN,100,NaN,EiuwkV
1469,ajREdT,Y,Foothills Red,Irish-Style Red Ale,4.7,28,20,lS1i8l
1470,ajREdT,Y,Footmen Series American Witbier,Belgian-Style White (or Wit) / Belgian-Style Wheat,4.7,17,10,S0ZprS
1471,ajREdT,Y,Frostbite Black IPA,American-Style India Pale Ale,6.5,70,50,WxctOv
1472,ajREdT,Y,German Alt,German-Style Altbier,NaN,52,25,r2dktw
1473,ajREdT,Y,Gruffmeister Maibock,German-Style Heller Bock/Maibock,8,38,20,98ItzK
1474,ajREdT,Y,Hop Job,Session India Pale Ale,5,NaN,NaN,BkwmiO
1475,ajREdT,Y,Hop of the Month - October 2016 (Loral),Extra Special Bitter,5.7,45,30,PHfReY
1476,ajREdT,Y,Hop of the Month - September 2016 (Azacca),American-Style India Pale Ale,5.7,70,50,TjCAeh
1477,ajREdT,Y,Hop Of The Month: Citra India Pale Ale,American-Style India Pale Ale,6.7,70,50,Ds8Bxy
1478,ajREdT,Y,Hop Of The Month: Mosaic IPA,American-Style India Pale Ale,7,70,50,Ksltx0
1479,ajREdT,Y,Hop Of The Month: Mt. Hood American Pale Ale,American-Style Pale Ale,5.9,42,30,iwQLDR
1480,ajREdT,Y,Hoppy Medium,American-Style Brown Ale,7.8,45,25,fvC6LQ
1481,ajREdT,Y,Hoppyum IPA,American-Style India Pale Ale,6.3,70,50,hYNg4G
1482,ajREdT,Y,Hundred Foot,American-Style Pale Ale,NaN,42,30,Eu78rQ
1483,ajREdT,Y,Hurricane Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,5.2,15,10,NlkWIC
1484,ajREdT,Y,IPA of the Month September 2015 Coach,American-Style India Pale Ale,6.9,70,50,g8lwXH
1485,ajREdT,Y,Jade IPA,American-Style India Pale Ale,7.4,70,50,a0JmDg
1486,ajREdT,Y,"January IPA of the Month - ""Ginger""",American-Style India Pale Ale,6.8,70,50,5nSYyf
1487,ajREdT,Y,"July IPA of the Month (""Seamus and Marlowe"")",American-Style India Pale Ale,5.8,70,50,uvHe5n
1488,ajREdT,Y,"July IPA of the Month - ""Yankee Doodle Dani""",American-Style India Pale Ale,5.8,70,50,ZRFGFZ
1489,ajREdT,Y,"June IPA of the Month - ""Jasmine""",American-Style India Pale Ale,5.8,70,50,x7WS68
1490,ajREdT,Y,Kazbek Pilsner,American-Style Pilsener,5.4,40,25,I6XZqM
